ESTIMATED_VALUE_OF_PROJECT,ALTERNATE_BUILDING_TYPE
250000,"SINGLE UNIT DWELLING"
70000,BAR/RESTAURANT
0,"SINGLE UNIT DWELLING"
38000,MUSEUM
4888000,OFFICE
640000,"MULTI COMMERCIAL"
51997,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
325000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
108393,"AIRPORT TERMINAL"
150000,"MOBILE HOME"
50000,"MIXED RES/COMM"
8000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
25956,"SINGLE UNIT DWELLING"
0,"TWO UNIT DWELLING"
16000,"STRIP MALL"
20000,"SINGLE UNIT DWELLING"
9000,"SINGLE UNIT DWELLING"
170000,"SINGLE UNIT DWELLING"
855000,"SINGLE UNIT DWELLING"
6000,"ACCESSORY BUILDING"
240000,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
103000,"MOBILE HOME"
10000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
280000,"SINGLE UNIT DWELLING"
8000,"TWO UNIT DWELLING"
25000,"ACCESSORY BUILDING"
0,"MULTI COMMERCIAL"
11000,"MULTI COMMERCIAL"
5000,"SINGLE UNIT DWELLING"
35000,"ACCESSORY BUILDING"
12000,"ACCESSORY BUILDING"
25000,"MIXED RES/COMM"
188000,"POST SECONDARY"
450000,"FERRY TERMINAL"
406000,"SINGLE UNIT DWELLING"
8500,BAR/RESTAURANT
400000,"SINGLE UNIT DWELLING"
20000,"MIXED RES/COMM"
230000,"SINGLE UNIT DWELLING"
375000,"SINGLE UNIT DWELLING"
300800,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
15000,"SINGLE UNIT DWELLING"
98000,OFFICE
17000,"ACCESSORY BUILDING"
150000,BAR/RESTAURANT
0,WAREHOUSE
150000,"SINGLE UNIT DWELLING"
8500,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
1000,"REPAIR GARAGE"
350000,"SINGLE UNIT DWELLING"
1500,"SINGLE UNIT DWELLING"
125000,"SINGLE UNIT DWELLING"
410000,"SINGLE UNIT DWELLING"
100000,"MULTI-UNIT DWELLING"
21396,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
48500,"GAS STATION"
7400,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
24000,"SINGLE UNIT DWELLING"
140000,"SINGLE UNIT DWELLING"
19050,"SINGLE UNIT DWELLING"
65000,"SINGLE UNIT DWELLING"
18000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
3000,"OTHER RETAIL"
230000,"SINGLE UNIT DWELLING"
250000,"COMMERCIAL STORAGE"
60000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
125000,OFFICE
75000,"MOBILE HOME"
360000,"TWO UNIT DWELLING"
15600,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
230000,"SINGLE UNIT DWELLING"
230000,"SINGLE UNIT DWELLING"
51109,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
148810,"MULTI COMMERCIAL"
1000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
750000,TOWNHOUSE
0,"AUTO DEALERSHIP"
250000,"MULTI-UNIT DWELLING"
29000,OFFICE
225000,"SINGLE UNIT DWELLING"
125000,"MULTI-UNIT DWELLING"
15000,OFFICE
83000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
157000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
450000,"SINGLE UNIT DWELLING"
2500,"TWO UNIT DWELLING"
245000,"SINGLE UNIT DWELLING"
75000,"STRIP MALL"
75000,"MOBILE HOME"
5000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
70000,"MULTI-UNIT DWELLING"
361173,"RECREATION FACILITY"
1280000,OFFICE
73000,"SINGLE UNIT DWELLING"
1523225,HOTEL/MOTEL
10000,"SINGLE UNIT DWELLING"
0,"ACCESSORY BUILDING"
150000,"MULTI COMMERCIAL"
430000,"ACCESSORY BUILDING"
728000,"GAS STATION"
785000,"AUTO DEALERSHIP"
80000,"MULTI-UNIT DWELLING"
35000,"ACCESSORY BUILDING"
146000,"SINGLE UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
5000,"TWO UNIT DWELLING"
70000,"SINGLE UNIT DWELLING"
0,"PLACE OF WORSHIP"
360000,"TWO UNIT DWELLING"
360000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
8500,"SINGLE UNIT DWELLING"
190000,"SINGLE UNIT DWELLING"
108000,"MOBILE HOME"
7500,"SINGLE UNIT DWELLING"
3800,"SINGLE UNIT DWELLING"
50000,DORMITORY
3220909,"PLACE OF WORSHIP"
360000,"TWO UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
165000,"SINGLE UNIT DWELLING"
17500,"MULTI-UNIT DWELLING"
550000,"SINGLE UNIT DWELLING"
8500,BAR/RESTAURANT
250000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
55000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
310000,"SINGLE UNIT DWELLING"
370000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
2000,WAREHOUSE
172000,"SINGLE UNIT DWELLING"
10000,"ACCESSORY BUILDING"
117883,"MULTI COMMERCIAL"
40000,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
38500,"MULTI-UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
270000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
400000,"TWO UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
40000,"MIXED RES/COMM"
80000,"MULTI COMMERCIAL"
40000,"MULTI COMMERCIAL"
24800,"SINGLE UNIT DWELLING"
4500,"STRIP MALL"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
2000,"SINGLE UNIT DWELLING"
48000,"ACCESSORY BUILDING"
0,"MULTI COMMERCIAL"
250000,"MULTI COMMERCIAL"
100000,"SINGLE UNIT DWELLING"
65000,"SINGLE UNIT DWELLING"
70000,"ACCESSORY BUILDING"
325000,"SINGLE UNIT DWELLING"
9000,"OTHER SERVICE"
160000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
300800,"SINGLE UNIT DWELLING"
25000,"TWO UNIT DWELLING"
300000,"SHOPPING CENTRE"
2500,"MIXED RES/COMM"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
14771129,"MULTI-UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
28000,SUPERMARKET
300000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
3172500,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
5000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
20000,FACTORY/PLANT
121000,"MULTI-UNIT DWELLING"
55000,"SHOPPING CENTRE"
20000,"SINGLE UNIT DWELLING"
5000,"MULTI-UNIT DWELLING"
45000,OFFICE
5000,"ACCESSORY BUILDING"
400000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
350000,"MULTI COMMERCIAL"
4500,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
13857,"SINGLE UNIT DWELLING"
380000,"SINGLE UNIT DWELLING"
86000,"MULTI COMMERCIAL"
200000,"SINGLE UNIT DWELLING"
500,"SINGLE UNIT DWELLING"
22000,"ACCESSORY BUILDING"
2500,"SINGLE UNIT DWELLING"
750000,"SINGLE UNIT DWELLING"
43642,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
46000,"PLACE OF WORSHIP"
120000,"MULTI COMMERCIAL"
250000,BAR/RESTAURANT
225000,"SINGLE UNIT DWELLING"
6000,"MIXED RES/COMM"
70000,"MOBILE HOME"
600000,"SINGLE UNIT DWELLING"
600000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
320000,"SINGLE UNIT DWELLING"
105000,"SINGLE UNIT DWELLING"
87000,"OTHER RETAIL"
264000,"SINGLE UNIT DWELLING"
90000,"MULTI COMMERCIAL"
75000,"SINGLE UNIT DWELLING"
0,"MEDICAL OFFICE"
200000,"SINGLE UNIT DWELLING"
135000,FACTORY/PLANT
40000,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
9000,"PLACE OF WORSHIP"
400000,"SINGLE UNIT DWELLING"
250000,BANK
6000,"RECREATION FACILITY"
150000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
6300000,"POST SECONDARY"
230000,"SINGLE UNIT DWELLING"
20142,"ACCESSORY BUILDING"
0,"TWO UNIT DWELLING"
397800,"MULTI-UNIT DWELLING"
55000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
92200,"SINGLE UNIT DWELLING"
96100,"MULTI COMMERCIAL"
14000,"ACCESSORY BUILDING"
450000,"SINGLE UNIT DWELLING"
119000,"MOBILE HOME"
300000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
50000,"ACCESSORY BUILDING"
12000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
250000,BAR/RESTAURANT
275000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
8000,"ACCESSORY BUILDING"
2000,"SINGLE UNIT DWELLING"
23000,"SINGLE UNIT DWELLING"
90000,"FERRY TERMINAL"
230000,"SINGLE UNIT DWELLING"
0,"MOBILE HOME"
25000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
5000,"TWO UNIT DWELLING"
15000,"ACCESSORY BUILDING"
159189,"MOBILE HOME"
22000,"MULTI COMMERCIAL"
540000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
83500,LIBRARY
150000,"SINGLE UNIT DWELLING"
160000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
88000,"SINGLE UNIT DWELLING"
80000,"TWO UNIT DWELLING"
29000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
300,"SINGLE UNIT DWELLING"
10000,"SINGLE UNIT DWELLING"
15000,"ACCESSORY BUILDING"
30000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
3200000,"OTHER RETAIL"
230000,"SINGLE UNIT DWELLING"
100000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
40000,"RECREATION FACILITY"
189000,OFFICE
320000,"SINGLE UNIT DWELLING"
300000,"TWO UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
140000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
148000,"AIRPORT TERMINAL"
17000,"ACCESSORY BUILDING"
70000,"AIRPORT TERMINAL"
12000,"ACCESSORY BUILDING"
300000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
0,"OTHER SERVICE"
0,"STRIP MALL"
375000,"SINGLE UNIT DWELLING"
142900,"MIXED RES/COMM"
30000,"ACCESSORY BUILDING"
300000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
300000,"TWO UNIT DWELLING"
1836,"SINGLE UNIT DWELLING"
500000,"SINGLE UNIT DWELLING"
20000,"TWO UNIT DWELLING"
1800,"SINGLE UNIT DWELLING"
275000,"SINGLE UNIT DWELLING"
200000,"STRIP MALL"
1095000,FACTORY/PLANT
7900,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
400000,"PLACE OF WORSHIP"
230000,"SINGLE UNIT DWELLING"
9000,"SINGLE UNIT DWELLING"
1500,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
6500,"SINGLE UNIT DWELLING"
35000,HOTEL/MOTEL
300000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
20000,"MULTI COMMERCIAL"
225000,"SINGLE UNIT DWELLING"
10000,"PLACE OF WORSHIP"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
240000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
25000,"ACCESSORY BUILDING"
0,"ACCESSORY BUILDING"
150000,"SINGLE UNIT DWELLING"
500000,OFFICE
2600,"MIXED RES/COMM"
6000000,"MULTI COMMERCIAL"
1500,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
0,"STRIP MALL"
2700000,"MIXED RES/COMM"
60000,FACTORY/PLANT
80000,"MULTI-UNIT DWELLING"
35000,"ACCESSORY BUILDING"
7500,HOTEL/MOTEL
2189000,DORMITORY
8600,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
65000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
7000,"TWO UNIT DWELLING"
103000,BAR/RESTAURANT
1000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
2500,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
19500,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
1000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
200000,"SINGLE UNIT DWELLING"
14000,"SINGLE UNIT DWELLING"
100000,"TWO UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
260000,"SINGLE UNIT DWELLING"
35000,"SINGLE UNIT DWELLING"
30000,"SINGLE UNIT DWELLING"
130000,"SINGLE UNIT DWELLING"
155000,"SINGLE UNIT DWELLING"
80000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
12500000,"MIXED RES/COMM"
20000,"MULTI-UNIT DWELLING"
50000,OFFICE
10000,"OTHER RETAIL"
300000,"SINGLE UNIT DWELLING"
5000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
250000,"MULTI COMMERCIAL"
3000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
13000,"ACCESSORY BUILDING"
200000,"SINGLE UNIT DWELLING"
220000,"SINGLE UNIT DWELLING"
80000,"MOBILE HOME"
2000,"SINGLE UNIT DWELLING"
125000,"MULTI COMMERCIAL"
28000,"PRIVATE SCHOOL"
78000,"MULTI COMMERCIAL"
100,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
15000,"TWO UNIT DWELLING"
5400,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
30000,"ACCESSORY BUILDING"
250000,"SINGLE UNIT DWELLING"
3000,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
1250000,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
275000,"TWO UNIT DWELLING"
275000,"TWO UNIT DWELLING"
50000,HOTEL/MOTEL
180000,"SINGLE UNIT DWELLING"
65000,"SINGLE UNIT DWELLING"
8000,"SINGLE UNIT DWELLING"
35000,"MEDICAL OFFICE"
25000,OFFICE
20700,"SINGLE UNIT DWELLING"
180000,"SINGLE UNIT DWELLING"
101000,"SINGLE UNIT DWELLING"
158000,OFFICE
75000,"SINGLE UNIT DWELLING"
238000,"SINGLE UNIT DWELLING"
25000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
5000,"OTHER RETAIL"
70000,BAR/RESTAURANT
0,DAYCARE
250000,"MIXED RES/COMM"
400000,"MULTI COMMERCIAL"
300000,"TWO UNIT DWELLING"
360000,"MIXED RES/COMM"
125000,"COMMERCIAL STORAGE"
9187549,"PRIVATE SCHOOL"
400000,"MULTI COMMERCIAL"
30000,"SINGLE UNIT DWELLING"
5000,"ACCESSORY BUILDING"
61800,"TWO UNIT DWELLING"
30000,"TWO UNIT DWELLING"
750000,"SINGLE UNIT DWELLING"
15000,"SINGLE UNIT DWELLING"
17498,"SINGLE UNIT DWELLING"
5000,"OTHER RETAIL"
18000,"ACCESSORY BUILDING"
355000,"TWO UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
6000,"SINGLE UNIT DWELLING"
5000,"OTHER SERVICE"
1000000,WAREHOUSE
50000,"OTHER RETAIL"
350000,"SINGLE UNIT DWELLING"
250000,"SINGLE UNIT DWELLING"
3500000,"POST SECONDARY"
11000,"SINGLE UNIT DWELLING"
27000,"OTHER RETAIL"
0,"SHOPPING CENTRE"
0,"REPAIR GARAGE"
320000,"SINGLE UNIT DWELLING"
25000,"MIXED RES/COMM"
244000,"OTHER RETAIL"
1000000,FACTORY/PLANT
60000,OFFICE
550000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
410000,"SINGLE UNIT DWELLING"
55000,"SINGLE UNIT DWELLING"
296000,"MULTI COMMERCIAL"
3000,"TWO UNIT DWELLING"
312000,"COMMUNITY CENTRE"
21000,OFFICE
230000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
175000,"SINGLE UNIT DWELLING"
66000,"OTHER RETAIL"
175000,"SINGLE UNIT DWELLING"
120000,OFFICE
80000,"SINGLE UNIT DWELLING"
21735,"SINGLE UNIT DWELLING"
16000,"ACCESSORY BUILDING"
100000,"MIXED RES/COMM"
0,"MULTI COMMERCIAL"
275000,"SINGLE UNIT DWELLING"
20000,"SINGLE UNIT DWELLING"
92994,"MOBILE HOME"
5000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
200000,"TWO UNIT DWELLING"
38000,"PERSONAL SERVICE"
14000,"SINGLE UNIT DWELLING"
0,"MULTI COMMERCIAL"
150000,"MIXED RES/COMM"
1400000,"MULTI COMMERCIAL"
45000,"SINGLE UNIT DWELLING"
0,"MIXED RES/COMM"
1000,BAR/RESTAURANT
150000,OFFICE
200000,"TWO UNIT DWELLING"
0,"RECREATION FACILITY"
30000,"MULTI-UNIT DWELLING"
80000,"MULTI COMMERCIAL"
30000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
350000,"SINGLE UNIT DWELLING"
232000,"SINGLE UNIT DWELLING"
24000,"MULTI-UNIT DWELLING"
298000,BAR/RESTAURANT
212000,"SINGLE UNIT DWELLING"
21660,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
60000,"AIRPORT TERMINAL"
375000,"SINGLE UNIT DWELLING"
95000,BAR/RESTAURANT
160000,"SINGLE UNIT DWELLING"
115000,"MULTI-UNIT DWELLING"
275800,"ACCESSORY BUILDING"
225000,"SINGLE UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
35920,OFFICE
1164813,"ACCESSORY BUILDING"
179300,"ACCESSORY BUILDING"
4000,BAR/RESTAURANT
330000,"TWO UNIT DWELLING"
26500,"PERSONAL SERVICE"
70000,"MULTI-UNIT DWELLING"
70000,"MULTI-UNIT DWELLING"
70000,"MULTI-UNIT DWELLING"
200000,"OTHER RETAIL"
3500,"SINGLE UNIT DWELLING"
400000,"SINGLE UNIT DWELLING"
50000,BAR/RESTAURANT
531560,OFFICE
0,"SINGLE UNIT DWELLING"
50000,"SINGLE UNIT DWELLING"
466400,OFFICE
361120,OFFICE
1000,"ACCESSORY BUILDING"
2000,"TWO UNIT DWELLING"
22500,"SINGLE UNIT DWELLING"
100,"SINGLE UNIT DWELLING"
280000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
232000,"SINGLE UNIT DWELLING"
0,OFFICE
200000,"TWO UNIT DWELLING"
3000000,OFFICE
15000,"ACCESSORY BUILDING"
10000,"ACCESSORY BUILDING"
17000,"ACCESSORY BUILDING"
180000,"SINGLE UNIT DWELLING"
325000,"SINGLE UNIT DWELLING"
164000,DORMITORY
75000,BAR/RESTAURANT
1300000,THEATRE
42000,"TWO UNIT DWELLING"
185000,"MULTI COMMERCIAL"
35000,"MOBILE HOME"
180000,OFFICE
300000,"TWO UNIT DWELLING"
8075,"MULTI-UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
18000,"OTHER SERVICE"
50000,OFFICE
12000,"MEDICAL CLINIC"
400000,"SINGLE UNIT DWELLING"
4500,"ACCESSORY BUILDING"
26000,"MULTI-UNIT DWELLING"
50000,TOWNHOUSE
50000,"MULTI COMMERCIAL"
90000,"OTHER SERVICE"
70000,"MULTI-UNIT DWELLING"
70000,"MULTI-UNIT DWELLING"
70000,"MULTI-UNIT DWELLING"
100,"ACCESSORY BUILDING"
195000,"SINGLE UNIT DWELLING"
135000,BAR/RESTAURANT
70000,TOWNHOUSE
70000,"MULTI-UNIT DWELLING"
150000,"SINGLE UNIT DWELLING"
70000,"MULTI-UNIT DWELLING"
70000,"MULTI-UNIT DWELLING"
287000,BAR/RESTAURANT
2202900,"MULTI-UNIT DWELLING"
4000,"TWO UNIT DWELLING"
300000,"SINGLE UNIT DWELLING"
700000,"SINGLE UNIT DWELLING"
300,"SINGLE UNIT DWELLING"
1000,"SINGLE UNIT DWELLING"
260000,"MULTI COMMERCIAL"
9000,"SINGLE UNIT DWELLING"
415000,"SINGLE UNIT DWELLING"
120000,"SINGLE UNIT DWELLING"
375000,"MULTI-UNIT DWELLING"
275000,"TWO UNIT DWELLING"
225000,"SINGLE UNIT DWELLING"
210000,"SINGLE UNIT DWELLING"
6393,OFFICE
1000,"SINGLE UNIT DWELLING"
175000,"SHOPPING CENTRE"
4000,"TWO UNIT DWELLING"
21000,"MULTI COMMERCIAL"
6000,"SINGLE UNIT DWELLING"
75000,"SINGLE UNIT DWELLING"
4000,"SINGLE UNIT DWELLING"
31478,"SINGLE UNIT DWELLING"
25100,"PERSONAL SERVICE"
6000,"SINGLE UNIT DWELLING"
0,"OTHER RETAIL"
10000,"SINGLE UNIT DWELLING"
10000,"OTHER RETAIL"
150000,"SINGLE UNIT DWELLING"
25000,"TWO UNIT DWELLING"
13000,"SINGLE UNIT DWELLING"
35000,BAR/RESTAURANT
400000,"TWO UNIT DWELLING"
22000,"SINGLE UNIT DWELLING"
40000,"SINGLE UNIT DWELLING"
38000,"MULTI COMMERCIAL"
275000,"SINGLE UNIT DWELLING"
0,"SINGLE UNIT DWELLING"
2000,"MOBILE HOME"
6500,"STRIP MALL"
0,"OTHER SERVICE"
2600,"SINGLE UNIT DWELLING"
